Timestep,Iteration,Total Reward,Suboptimal Arms Count,Total Regret,Zeros Count,Ones Count
3,62,7,4,0.4,0,7
100,62,170,100,10.0,31,170
200,62,347,200,20.0,54,347
2000,62,3401,2000,200.0,600,3401
10000,62,16948,10000,1000.0,3053,16948
20000,62,33993,20000,2000.0,6008,33993
40000,62,68018,40000,4000.0,11983,68018
60000,62,101974,60000,6000.0,18027,101974
80000,62,136113,80000,8000.0,23888,136113
100000,62,170571,100000,10000.0,29430,170571
2,63,4,2,0.2,1,4
3,63,7,4,0.4,0,7
100,63,172,100,10.0,29,172
200,63,331,200,20.0,70,331
2000,63,3418,2000,200.0,583,3418
10000,63,17013,10000,1000.0,2988,17013
20000,63,33895,20000,2000.0,6106,33895
40000,63,67932,40000,4000.0,12069,67932
60000,63,101932,60000,6000.0,18069,101932
80000,63,136068,80000,8000.0,23933,136068
100000,63,170018,100000,10000.0,29983,170018
